0,1,2,3,4,5,6,7,8
2023-04-05,Snoqualmie Pass,MODERATE,1 - LOW,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Warm wet weather will create the most dangerous conditions near and below the rain-snow line Thursday. You may encounter small natural loose wet avalanches, especially during periods of heavier precipitation.","We expect rain and wet heavy snow at mid and lower elevations Thursday. This will probably result in rollerballs and a few small loose avalanches. When you find wet mushy snow on the surface or see fresh piles of teardrop shaped debris, then limit the time you spend on or under nearby steep slopes. 
Fortunately, the limited precipitation should help keep most of these slides small. Just don’t let one push you into a creek or shove you off a cliff.By the end of the day, you may start to find a few pockets of wind-drifted snow on exposed ridges at upper elevations. They should be rather shallow and localized. Blowing snow and small sharp cornices can help you figure out local wind patterns and which aspects could hold one of these wind-loaded pockets. While we don’t think these avalanches will pose a huge risk to you as a travel, be leery of pillow-like slabs in consequential terrain.","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(2/18/2023)
Signs of wind loading to look for Saturday.
Photo: Dallas Glass
By the end of the day, you may start to find a few pockets of wind-drifted snow on exposed ridges at upper elevations. They should be rather shallow and localized. Blowing snow and small sharp cornices can help you figure out local wind patterns and which aspects could hold one of these wind-loaded pockets. While we don’t think these avalanches will pose a huge risk to you as a travel, be leery of pillow-like slabs in consequential terrain."
2023-04-04,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Wednesday should be a transition day between weather patterns. Keep an eye on the snow surface and how it is changing to determine what type of avalanche problem you need to manage. If the snow is wet and sticky, the potential for wet slides is increasing and you should head for shadier slopes.","With a bump in temperatures and fewer convective showers forecasted for Wednesday, it’s time to start talking about wet avalanche activity more formally than the past few days. You could run into issues if solar input is able to destabilize the recent cold dry snow sitting on the surface. If the snow is getting wet and sticky, shedding from trees and rocks, or there are new rollerballs on steep slopes, then Wet Loose avalanches could soon follow. These slides typically start at a point and fan out as they move downhill, sometimes growing large or triggering slabs in the process. Your best mitigation strategy will be to head for shaded slopes with limited overhead hazard.
On slopes that continue to hold cold dry snow, you could trigger some Dry Loose avalanches that behave similarly to their wet counterparts. Don’t get swept off your feet in consequential terrain.You may still be able to trigger lingering slab avalanches in wind-effected terrain. Focus your attention on specific terrain features such as steep unsupported slopes, convexities, confined chutes/gullies, or the lee side of ridgelines. These are the most likely locations to trigger one of these slides. Visual clues such as textured surfaces or recently formed cornices can help you identify aspects where these slabs may be lingering. In some locations, they could be hidden under a few inches of snow. If that’s the case, you’ll need to feel for differences in density under your feet to locate them.","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(4/2/2023)
A widely breaking avalanche on a convex slope that was human-triggered on 4/2. The skier was caught, carried, and partially buried. [Great Scott Bowl]
Photo: Public Observation
You may still be able to trigger lingering slab avalanches in wind-effected terrain. Focus your attention on specific terrain features such as steep unsupported slopes, convexities, confined chutes/gullies, or the lee side of ridgelines. These are the most likely locations to trigger one of these slides. Visual clues such as textured surfaces or recently formed cornices can help you identify aspects where these slabs may be lingering. In some locations, they could be hidden under a few inches of snow. If that’s the case, you’ll need to feel for differences in density under your feet to locate them."
2023-04-03,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,1 - LOW,"THE BOTTOM LINE
On Tuesday, you’re more likely to trigger an avalanche on specific terrain features such as steep unsupported slopes, convexities, or chutes, especially if they're wind-loaded. The unsettled springtime weather we have experienced the last few days should continue. Be prepared for changing conditions by having a travel plan that allows you to manage multiple types of avalanche problems.","Wind affected terrain features may be the most likely location for you to trigger an avalanche on Tuesday. Identifying wind-loaded slopes could prove to be a challenge. The signs may be subtle such as noticing a lightly textured surface or feeling the density of the snow change as you travel. In some cases, slabs could be buried beneath a few inches of low-density snow. On the flip side, more in-your-face observations such as actively blowing snow forming new slabs should be easy to spot. Regardless of how easy they are to identify, you should be leery of steep unsupported slopes, convexities, confined chutes/gullies, or the lee side of ridgelines. These are the most likely locations to trigger one of these avalanches.","FORECAST DISCUSSION
We’re in a rinse-and-repeat weather cycle. Periods of sunshine and convective snow showers should again grace Snoqualmie Pass on Tuesday. With this dynamic and somewhat unpredictable springtime weather comes plenty of caveats in the avalanche forecast. To simplify things, the steeper the slope, the more likely you are to trigger an avalanche in the recent storm snow. 
One example is that you might encounter Dry Loose slides (sluffs) that could grow large or run far distances. Of course, if the sun is able to break through and affect the surface, you may see the moisture content start to transition toward Wet Loose avalanches. In some locations, solar input could also help the upper snowpack gain cohesion, increasing the possibility of slab avalanches. 
Over the weekend, avalanches were failing easily in the storm snow and we received numerous reports of human-triggered slides. Multiple observations indicated that individuals were caught and carried and in some cases partially buried. Most avalanches are thought to have failed on a subtle layer a few inches above the 3/31 crust. With a few inches of snow falling each day, you’ll want to check all of the snow above this easily identifiable snowpack marker for potential issues. You should find the 3/31 roughly 1-1.5 feet below the surface."
2023-04-02,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
You can still trigger an avalanche in the storm snow at Snoqualmie Pass on Monday. Focus your attention on steep unsupported slopes, chutes, convexities, or wind-loaded terrain where you’re more likely to do so. Dynamic springtime weather may change conditions throughout the day, so pay attention to how the snowpack is reacting and alter your travel plans if necessary. ","Signs point toward a settling but still grumpy upper snowpack at Snoqualmie Pass. Numerous avalanches triggered by backcountry travelers over the weekend have failed within or at the base of the recent storm snow. So take the time to investigate everything above the 3/31 crust for potential weak points before committing to a slope. You can do this by digging with your hand or shovel, using test slopes, or uptrack tests as you travel. Slab depth will increase as you ascend in elevation or in wind-loaded terrain. Be leery of steep unsupported slopes, confined chutes/gullies, or convexities where triggering one of these avalanches may be more likely. 
Loose avalanches will also be a concern on slopes over 35 degrees. While often thought of as a manageable problem by some backcountry travelers, don’t get surprised or tripped up by one in consequential terrain. They could run far distances on the underlying crust.","FORECAST DISCUSSION
Expect a few additional inches of snow on Monday to add to the almost 20 inches we’ve received at Snoqualmie Pass since Friday. All of this snow is sitting above a crust (3/31 interface) that should be an easily identifiable snowpack marker for your assessments. We do not anticipate any avalanche activity below this interface.
Throughout the weekend, we received multiple reports from backcountry travelers, avalanche professionals, and NWAC forecasters about sensitive Storm Slabs being triggered on steeper slopes.  Additionally, many reports indicated that loose avalanches failed easily due to human-triggers. The general thought is that most of these avalanches are failing a few inches above the 3/31 crust on an interface identified by NWAC forecasters on both Saturday and Sunday. Don't ignore these red-flag signs of instability. If someone triggered an avalanche in similar terrain to where you're thinking of traveling, odds are that you will too. You can catch up on the public observations and recent avalanches submitted over the weekend here.
We’re anticipating interspersed periods of sunshine and convective snow showers on Monday at the Pass. Generally speaking, less snow and more sun breaks are expected than what we experienced on Sunday. We may also see an uptick in winds. This springtime weather could manifest in multiple changes to the snowpack throughout the day. Solar input could help the upper snowpack gain cohesion and “slab up” a bit. It could also help snow shed from trees and rocks, triggering loose avalanches or even slabs on the slopes below. If the sun is out for an extended period of time, you may start to see Wet Loose avalanche activity develop. With cold dry snow in place, you may even see some shallow Wind Slabs forming on leeward features."
2023-04-01,Snoqualmie Pass,CONSIDERABLE,3 - CONSIDERABLE,3 - CONSIDERABLE,2 - MODERATE,"THE BOTTOM LINE
Recent human-triggered avalanches and additional snowfall should be enough to maintain dangerous avalanche conditions on Sunday. Slides will be more likely in terrain over 35 degrees and could run far distances on a firm crust. Keep an eye on how the dynamic springtime weather is affecting the snowpack, you may have to adjust your mindset as conditions change.","You should continue to be leery of open slopes over 35 degrees on Sunday. Multiple rounds of precipitation during this stormy period have resulted in a layered upper snowpack sitting on a crust. Use test slopes or dig down to the crust with your hand or shovel to investigate these potential failure points before committing to terrain. You should also look for heavy snow over weaker snow (upside-down snowpack), cracking of the surface, or recent avalanches as indicators that the snowpack is unhappy. Slabs should be larger as you ascend in elevation or in wind-loaded terrain. Even if the storm snow is not showing much cohesion or failing in blocks during your tests, it could still run far and fast on the underlying crust on slopes over 35 degrees.","FORECAST DISCUSSION
The peak of this stormy period may be over, but precipitation is expected to continue into Sunday at Snoqualmie Pass. With roughly 15 inches already on the ground at upper elevations, expected accumulations should have us approaching 2 feet of storm snow by Sunday evening. All the recent snowfall is overlaying a crust (3/31 interface) and has an inconsistent bond across the landscape, mostly based on elevation and the stoutness of the crust. 
On Saturday, numerous small avalanches were human-triggered on steeper slopes throughout the zone. Many of them failed at the base of the storm snow, but some failed within. Alpental Pro Patrol reported similar results during their morning mitigation efforts along with some small natural activity. Most of these reported avalanches ran on the 3/31 crust, sometimes traveling far distances. NWAC forecasters found multiple density breaks and plenty of weak graupel within the storm snow. Loose avalanches running on the 3/31 were also observed in steep terrain.
Don’t expect the bond to become much more favorable by the time Sunday rolls around. The added precipitation just means that slabs will be thicker and with more layers for you to investigate. You could encounter periods of heavy convective showers interspersed with more sun breaks than we experienced on Saturday. Even in short spurts, this solar input could start to change the snow surface resulting in it gaining some cohesion and “slabbing up”. You might even see a few rollerballs and Wet Loose avalanches. It’s springtime, so conditions can change rapidly. Be sure to reassess the snowpack consistently throughout the day to see how the dynamic weather is affecting it. "
2023-03-31,Snoqualmie Pass,CONSIDERABLE,3 - CONSIDERABLE,3 - CONSIDERABLE,2 - MODERATE,"THE BOTTOM LINE
A significant winter storm will create dangerous avalanche conditions at the Pass by Saturday morning. Be suspicious of any open slope over 35 degrees, especially at mid and upper elevations. Some avalanches could trigger easily and run quickly on a firm crust below.","Stormy weather with high precipitation rates, strong winds, fluctuating temperatures, and significant snowfall all point towards unstable storm slabs. This is a day to dial it back and simply avoid steep open slopes. You can look for and test these storm slabs by using hand pits and small slopes to see how the new snow reacts and if it's bonded to the old surface When you see it crack, fail suddenly, or slide in blocks, you’ve found the problem. At mid and upper elevations, the new snow may not stick well to an underlying firm crust. In these places, we think avalanches could fail easily and run fast. 
While we expect avalanches on any open slope, they could be larger and harder to manage in wind-loaded terrain. Firm thick slabs may exist along the lee side of ridges and near the base of cliffs. Unless it’s scoured to a crust, be particularly careful in wind-affected areas where these bigger avalanches could occur.","FORECAST DISCUSSION
While not a huge event, this is a significant winter storm and a big change in the weather from the past several days. With the bulk of the precipitation and strongest winds Friday night, we expect the danger to already be in place first thing Saturday morning. You may find that the hazard spikes again during periods of intense precipitation and/or blowing snow. With convective snow showers in the forecast, this could occur nearly anywhere in the zone at any point during the day. One way to manage this uncertainty is to choose routes that allow you to easily return to the trailhead without needing to travel through complex or high-consequence areas.
We’re primarily concerned with avalanches failing at or above the new/old interface (3/31). In many places, this layer is marked by a new crust (and possibly tree debris). However, prior to this storm, a variety of surfaces were observed: scoured slopes, icy crust, wet punchy snow, and pockets of dry powder. That means the new snow may react differently in various areas. Make sure to keep making observations as you travel and don’t rely on just a few data points. 
The skies should remain cloudy Saturday, but it’s April, and we can’t rule out a few sun breaks. If you start to notice the sun, odds are, so is the snowpack. You may see natural loose wet avalanches, especially near sunny rocky terrain. Some of these smaller slides could trigger slab avalanches on the slopes below."
2023-03-30,Snoqualmie Pass,MODERATE,2 - MODERATE,1 - LOW,1 - LOW,"THE BOTTOM LINE
A winter storm will bring a few inches of snow to the Pass Friday and slowly increase the avalanche danger. You may encounter a few unstable pockets of wind drifted snow especially later in the day. Blowing snow and sharp thin cornices can help you anticipate potentially loaded slopes you may want to avoid.","Strengthening winds should easily turn the few inches of new snow into a fresh batch of shallow slabs on the lee sides of ridges and near the base of cliffs. Since we’re expecting the bulk of the precipitation in the afternoon, it may take a bit for this problem to develop. Fortunately, the stormy weather should provide you with plenty of clues to help you figure out where this issue is actively forming. While these slabs should remain rather small, they could trigger easily over recent crust. So, don’t let one catch you off guard if you’re traveling above a cliff or other terrain trap that could magnify the consequences of even a small avalanche.","FORECAST DISCUSSION
First thing in the morning, you may find generally safe avalanche conditions (Low danger) around the Pass. Colder and cloudier weather should help the snowpack freeze and become strong. As more snow accumulates, expect the hazard to rise. When exactly the danger will increase is tough to say, but if you find a few inches of new snow and see blowing snow, it’s time to start thinking about wind slabs.
Given the recent weather, we’re most concerned about the new snow and its bond to the older surface. How the snow sticks to the new interface (3/30) is hard to predict. On Thursday, an avalanche professional in the Apental valley found warm moist snow. If the new snow falls before it freezes, it may bond very well. If a firm crust forms first, the new snow may slide easily. You can use hand pits and uptrack tests to see if the snow fails suddenly and/or in slab-like blocks. 
Prior to this storm, a variety of surfaces existed around the Pass. While warm moist snow was the most prevalent, firm wind-pressed snow, textured surfaces, scoured slopes, breakable crust, loads of tree debris, and frozen avalanche debris were found. On Friday, some of these obstacles may only be buried by an inch or two of new snow.
The storm will continue Friday night. As it intensifies expect the avalanche danger across the zone to rise rapidly. "
2023-03-29,Snoqualmie Pass,MODERATE,2 - MODERATE,1 - LOW,1 - LOW,"THE BOTTOM LINE
You can trigger an avalanche in lingering pockets of wind drifted snow on Thursday. Consider steering around wind loaded features if you notice active drifting or see signs of unstable snow such as shooting cracks.","Strong, sustained east winds have been ripping across the Cascades. This wind pattern is likely creating variable surfaces, but also forming slabs in some funky spots, such as west aspects or even cross loading terrain features at higher elevations. Thursday will bring a switch back to westerly winds, which may start blowing snow back onto more normal east facing slopes. 
So as you travel, don’t let your guard down as you switch aspects. Keep an eye out for these shallow wind drifted slabs all over the compass. You use visual clues to help you identify slopes of concern. Look for blowing snow, textured surfaces, or fresh rounded pillows at the snow surface to help you identify where the problem exists. As always, take a step back and reduce your exposure to steep wind loaded slopes if you notice signs such as shooting cracks or hear snow that sounds hollow like a drum.","FORECAST DISCUSSION
Thursday should bring more of the same, just with a changing wind direction and possibly some filtering sunshine to start the day. Although, clouds are forecast to thicken as the day progresses, along with increasing ridgeline winds ahead of our next system. 
Strong, sustained east winds have likely done some damage at upper elevations. On Wednesday, winds finally started easing as temperatures warmed up above freezing at the top of Alpental. This combination has likely created variable travel on most aspects and elevations below 5500’. 
Last week's snowfall overlays a melt-freeze crust on most aspects except high-elevation northerly slopes (3/22 interface). Multiple shallow (3-10"") soft slab avalanches were human-triggered over the weekend, failing within or at the base of the recent storm snow. Most of these slides appeared to be on steep convex slopes or near rocky terrain, such as rocky chutes or the base of cliffs. Avalanche professionals and NWAC forecasters identified pockets of weak snow, with a few whumpfing collapses experienced on west aspects at mid to upper elevations. 
We had some concerns about weak snow buried during this storm. If it survived, the distribution is spotty at best, but it could explain some of the collapses or a few of the triggered slabs. We are continuing to gather more information about this potential weak layer in the snowpack. So be sure to check the bond on the 3/22 interface and the snow above it as you travel on Monday. We expect any avalanche activity to occur at or above this interface."
2023-03-28,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,1 - LOW,"THE BOTTOM LINE
Winds will taper off overnight, but you could still trigger avalanches in lingering unstable pockets of stiff wind-drifted snow. Look for deep, textured drifts to identify potential wind-affected terrain. Steer around steep slopes where you find these hollow-sounding drifts or observe cracks shooting away from you. ","The winds likely did some damage on Tuesday, with 18hrs of steady wind speeds over 20mph. Finding locations where this wind event did not impact the recent snow may be challenging. Expect widespread textured surfaces and stiff wind-board. The poor weather and travel conditions left us with minimal observations on the distribution and sensitivity of the wind slab problem. However, you will likely find them throughout the terrain on convex rolls, below ridges, at the base of cliffs, and cross-loaded gullies. While Wednesday will be a much milder day with calm winds, you should approach any steep wind-affected slopes with suspicion. Steep, confined, rocky terrain will be the most likely location to trigger one of these avalanches. Wind slabs likely formed over various surfaces, including slick crusts and weaker snow, so they could take some time to become unreactive. If you identify deep, hollow-sounding drifts or observe any obvious signs of instability, such as cracks shooting away from you, move to lower-angle terrain or sheltered forested areas","FORECAST DISCUSSION
With cloud cover in the forecast, it won't be the next sunny day you have been waiting for, but calm wind and increasing temperatures should once again put wet avalanches on your mind. Widespread crusts and wind-affected snow will likely limit the extent of this problem, but you may still see some small wet avalanches tomorrow. Pay attention to the consistency of the snow below you and move onto lower-angle terrain if wet, heavy snow is easily sliding downhill.
Last week's snowfall overlays a melt-freeze crust on most aspects except high-elevation northerly slopes (3/22 interface). Multiple shallow (3-10"") soft slab avalanches were human-triggered over the weekend, failing within or at the base of the recent storm snow. Most of these slides appeared to be on steep convex slopes or near rocky terrain, such as rocky chutes or the base of cliffs. Avalanche professionals and NWAC forecasters identified pockets of weak snow, with a few whumpfing collapses experienced on west aspects at mid to upper elevations. 
We had some concerns about weak snow buried during this storm. If it survived, the distribution is spotty at best, but it could explain some of the collapses or a few of the triggered slabs. We are continuing to gather more information about this potential weak layer in the snowpack. So be sure to check the bond on the 3/22 interface and the snow above it as you travel on Monday. We expect any avalanche activity to occur at or above this interface."
2023-03-27,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Easterly winds will be on a steady ramp up into the strong range with extreme gusts overnight. You will find stiff slabs of wind-drifted snow where you can trigger avalanches in atypical locations, such as further down the slope and on unusual aspects. Actively blowing snow, textured drifts, shooting cracks, and stiff hollow sounding snow are all signs of wind-loaded terrain where you should avoid steep slopes.","On Monday, the east winds ramped up, drifting the recent snow over ridges and across slopes into wind slabs. You could trigger these wind slabs on convex rolls, below ridges, the base of cliffs, and cross-loaded gullies. Expect that with the easterly wind direction and speeds up to 40mph, you are likely to find wind slabs in unusual locations. They may form below typical starting zones and on aspects generally scoured from the dominant westerly winds. Also, look for wind slabs developing in sheltered terrain at lower elevations, like open glades in the forest. With northern aspects holding plenty of dry snow available for transport, these new slabs could be quite large. These fresh wind slabs will form over various surfaces, including slick crusts and weaker snow, so they could be quite sensitive to triggering. Look for actively drifting snow, textured surfaces, and ""fat"" looking drifts to identify steep slopes to avoid. Warning signs such as shooting cracks are bullseye evidence that the snow is unstable. ","FORECAST DISCUSSION
Even though it's the end of March, it's still looking pretty wintery out there. The end of last week brought 8-18 inches of new snow, and while a couple of sunny days had us thinking about wet avalanches and formed crusts on southern aspects, northern slopes still hold cold, dry snow. This easterly wind event and the cloudy forecast will bring another round of winter, so you should put wet avalanche problems and spring diurnal mindsets away for the next couple of days and refocus on cold, dry snow problems. 

Last week's snowfall overlays a melt-freeze crust on most aspects except high-elevation northerly slopes (3/22 interface). Multiple shallow (3-10"") soft slab avalanches were human-triggered over the weekend, failing within or at the base of the recent storm snow. Most of these slides appeared to be on steep convex slopes or near rocky terrain, such as rocky chutes or the base of cliffs. Avalanche professionals and NWAC forecasters identified pockets of weak snow, with a few whumpfing collapses experienced on west aspects at mid to upper elevations. 

We had some concerns about weak snow buried during this storm. If it survived, the distribution is spotty at best, but it could explain some of the collapses or a few of the triggered slabs. We are continuing to gather more information about this potential weak layer in the snowpack. So be sure to check the bond on the 3/22 interface and the snow above it as you travel on Monday. We expect any avalanche activity to occur at or above this interface."
2023-03-26,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Monday will be a bit of a transition day as temperatures and sunshine peak before we head into a multi-day wind event. As the weather changes, so should your avalanche problem focus. Most slides are expected to be small, but don’t let them catch you off guard near terrain traps or other consequential slopes.","There’s an east wind event coming our way. With cold dry snow already in place, increasing winds throughout the day should grow strong enough to easily transport it into shallow Wind Slabs on lee slopes. Due to the atypical wind direction, these slabs may form on aspects where you’re not used to seeing them. East wind events also often result in more mid-slope loading. Look for actively blowing snow as your easiest indication of aspects where slabs may be building. They’ll be more likely on convex rollovers and near rocky features such as the base of cliffs or confined chutes. If you suspect a slope is wind-loaded, simply avoid it by choosing another path.The slow uptick in sunshine and temperatures will continue into Monday, maintaining the possibility of Wet Loose avalanches. It will be a race to see if there is enough sunshine to destabilize the surface before the easterly winds kick in and limit this avalanche problem. Further away from the Pass proper or in areas where the easterlies have less influence, you could see more widespread wet avalanche activity. Keep an eye on how the snow surface is changing throughout the day due to solar input. If the snow is getting wet and sticky and you see new rollerballs or fan-shaped avalanche debris, head for shadier slopes. Be sure to stay aware of hanging blocks of snow such as cornices or glide cracks above you.","AVALANCHE PROBLEM #2
Wet Loose
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(3/18/2023)
Wet Loose avalanches on Kendall Peak occurred due to solar input on 3/18. Most originated near rocky terrain.
Photo: Rachel Gronvold
The slow uptick in sunshine and temperatures will continue into Monday, maintaining the possibility of Wet Loose avalanches. It will be a race to see if there is enough sunshine to destabilize the surface before the easterly winds kick in and limit this avalanche problem. Further away from the Pass proper or in areas where the easterlies have less influence, you could see more widespread wet avalanche activity. Keep an eye on how the snow surface is changing throughout the day due to solar input. If the snow is getting wet and sticky and you see new rollerballs or fan-shaped avalanche debris, head for shadier slopes. Be sure to stay aware of hanging blocks of snow such as cornices or glide cracks above you."
2023-03-25,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Recent human-triggered avalanches are an indication that the snowpack hasn’t fully settled post-storm. You could find that wind-loaded features such as confined gullies or convex slopes are the most likely location for you to trigger a slab of your own on Sunday. Keep an eye on the sky and if the snow is changing throughout the day as a result of solar input. ","The most likely location for you to trigger a slab avalanche should be in wind-loaded terrain on Sunday. Look for features that look “fat” with pillow-like drifts compared to the surrounding area near ridgelines, confined gullies, or on convex rollovers. You may see other visual clues such as textured surfaces or sharp cornices in the nearby terrain that can help key you into which way the wind was blowing and thus wind-loaded aspects. Using small test slopes or performing uptrack tests in benign terrain can help you identify how the recent storm snow is reacting to your weight as a traveler. If you notice cracking or blocks of snow failing easily during your tests, choose an alternate path avoiding wind-loaded slopes.Sunshine and temperatures are forecasted to slowly increase on Sunday which could be enough to kick off some Wet Loose avalanche activity. That said, temperatures aren’t skyrocketing and we’re not expecting full sun, so this problem may not materialize. You’ll need to keep an eye on the weather and how the snow surface is changing throughout the day. If the snow is getting wet and sticky or the sun is out for a prolonged period of time, make a judgment call on if you should head for shadier slopes to avoid this hazard. If you see new rollerballs or fan-shaped avalanche debris due to solar input, then the decision is likely made for you. You’ll know it’s time to head for sun-protected slopes keeping aware of hanging blocks of snow such as cornices or glide cracks above you.","AVALANCHE PROBLEM #2
Wet Loose
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(3/18/2023)
Wet Loose avalanches on Kendall Peak occurred due to solar input on 3/18. Most originated near rocky terrain.
Photo: Rachel Gronvold
Sunshine and temperatures are forecasted to slowly increase on Sunday which could be enough to kick off some Wet Loose avalanche activity. That said, temperatures aren’t skyrocketing and we’re not expecting full sun, so this problem may not materialize. You’ll need to keep an eye on the weather and how the snow surface is changing throughout the day. If the snow is getting wet and sticky or the sun is out for a prolonged period of time, make a judgment call on if you should head for shadier slopes to avoid this hazard. If you see new rollerballs or fan-shaped avalanche debris due to solar input, then the decision is likely made for you. You’ll know it’s time to head for sun-protected slopes keeping aware of hanging blocks of snow such as cornices or glide cracks above you."
2023-03-24,Snoqualmie Pass,CONSIDERABLE,3 - CONSIDERABLE,3 - CONSIDERABLE,2 - MODERATE,"THE BOTTOM LINE
A multi-day storm should culminate in dangerous avalanche conditions by Saturday morning at Snoqualmie Pass. Look for cracking of the snow surface or a poor bond within or at the base of the storm snow as an indication to avoid slopes over 35 degrees. As the day unfolds, you may have to switch your mindset to focus on wind-loaded features or potentially sun-exposed slopes.","Snowfall is forecasted to continue throughout Friday night and into Saturday morning at Snoqualmie Pass. With accumulations possibly being enhanced by a convergence zone, storm totals are expected to reach depths where you should be thinking about slab avalanches on all steep slopes. Of course, in wind-loaded areas slabs will be thicker and potentially more reactive. This is especially true on specific features such as the lee side of ridgelines or in confined gullies. You can use small test slopes or quick hand pits as you travel to see how the storm snow has bonded to underlying surfaces or if there are interstorm layers of concern. You may see it failing easily in blocks or notice cracking of the surface indicating a potential problem. If you notice these signs or get concerning results with your quick tests, avoid all slopes over 35 degrees.","FORECAST DISCUSSION
Even though the calendar has switched to spring, we’re in the midst of a more winter-like storm at Snoqualmie Pass. As of Friday evening, we have received around 5 inches of snow at lower elevations which increases to over a foot up higher. If the convergence zone alluded to above hits the forecasted water numbers, we could squeeze out another 5 to 10 inches by daybreak on Saturday.
You’ll likely encounter the most dangerous avalanche conditions first thing in the morning as this storm is wrapping up and the snowpack adjusts to the new load. As the day wears on, you may find that hazard transitions towards more specific terrain features or is more likely on wind-loaded slopes. On Friday, skiers on Mount Snoqualmie reported triggering a shallow slab in a confined chute. On open slopes at upper elevations, they also reported that the storm snow cracked and failed on the underlying sun crust. Alpental Pro Patrol observed both loose and slab avalanches running at the base of the storm snow and on an interstorm layer. 
Prior to the storm, mostly warm and sunny weather impacted the zone for the majority of the week. A surface crust formed on most aspects and elevations. The caveat is high-elevation northerly terrain where dry soft snow survived and possibly faceted (weakened) during this spell. Both of these surfaces could aid in avalanches failing on Saturday, so be sure to check the bond (3/22 interface) throughout your travels. All avalanche activity is expected to occur at or above this interface on Saturday.
As the storm winds down and becomes more showery, don’t be surprised to see a sun break or two. This could result in rollerballs or even a few Wet Loose avalanches. We have been concerned about larger Glide avalanches this past week due to the generally warm weather. It’s worth continuing to minimize your time spent under slopes that contain large Glide cracks on Saturday. It is spring, after all."
